;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
244;lorsque;2983391;0,006154683;;;;;;;;;;;;;;;;;;;;;;
245;fut;2973996;0,006135301;;;;;;;;;;;;;;;;;;;;;;
246;choses;2968973;0,006124939;;;;;;;;;;;;;;;;;;;;;;
247;raison;2956044;0,006098267;;;;;;;;;;;;;;;;;;;;;;
248;face;2955943;0,006098058;;;;;;;;;;;;;;;;;;;;;;
249;demande;2945644;0,006076812;;;;;;;;;;;;;;;;;;;;;;
250;partir;2940597;0,0060664;;;;;;;;;;;;;;;;;;;;;;
251;peut-?tre;2934361;0,006053535;;;;;;;;;;;;;;;;;;;;;;
252;pense;2926103;0,006036499;;;;;;;;;;;;;;;;;;;;;;
253;merci;2903644;0,005990166;;;;;;;;;;;;;;;;;;;;;;
254;service;2893323;0,005968874;;;;;;;;;;;;;;;;;;;;;;
255;corps;2876132;0,00593341;;;;;;;;;;;;;;;;;;;;;;
256;rapport;2876082;0,005933306;;;;;;;;;;;;;;;;;;;;;;
257;trouver;2872601;0,005926125;;;;;;;;;;;;;;;;;;;;;;
258;société;2836808;0,005852285;;;;;;;;;;;;;;;;;;;;;;
259;pourrait;2828319;0,005834772;;;;;;;;;;;;;;;;;;;;;;
260;état;2819767;0,00581713;;;;;;;;;;;;;;;;;;;;;;
261;côté;2817247;0,005811931;;;;;;;;;;;;;;;;;;;;;;
262;pouvez;2812188;0,005801494;;;;;;;;;;;;;;;;;;;;;;
263;sujet;2810199;0,005797391;;;;;;;;;;;;;;;;;;;;;;
264;jeux;2803635;0,005783849;;;;;;;;;;;;;;;;;;;;;;
265;web;2775394;0,005725589;;;;;;;;;;;;;;;;;;;;;;
266;avais;2774443;0,005723627;;;;;;;;;;;;;;;;;;;;;;
267;yeux;2756470;0,005686549;;;;;;;;;;;;;;;;;;;;;;
268;sais;2754669;0,005682833;;;;;;;;;;;;;;;;;;;;;;
269;ensuite;2740977;0,005654587;;;;;;;;;;;;;;;;;;;;;;
270;main;2736031;0,005644384;;;;;;;;;;;;;;;;;;;;;;
271;famille;2728979;0,005629835;;;;;;;;;;;;;;;;;;;;;;
272;Paris;2721081;0,005613542;;;;;;;;;;;;;;;;;;;;;;
273;toi;2695133;0,005560012;;;;;;;;;;;;;;;;;;;;;;
274;aucun;2688121;0,005545546;;;;;;;;;;;;;;;;;;;;;;
275;mis;2664514;0,005496845;;;;;;;;;;;;;;;;;;;;;;
276;pr?s;2647430;0,005461601;;;;;;;;;;;;;;;;;;;;;;
277;forme;2644889;0,005456359;;;;;;;;;;;;;;;;;;;;;;
278;hommes;2642070;0,005450544;;;;;;;;;;;;;;;;;;;;;;
279;font;2638258;0,00544268;;;;;;;;;;;;;;;;;;;;;;
280;plutôt;2631497;0,005428732;;;;;;;;;;;;;;;;;;;;;;
281;passer;2621625;0,005408366;;;;;;;;;;;;;;;;;;;;;;
282;d?s;2619829;0,005404661;;;;;;;;;;;;;;;;;;;;;;
283;développement;2608638;0,005381574;;;;;;;;;;;;;;;;;;;;;;
284;article;2603654;0,005371292;;;;;;;;;;;;;;;;;;;;;;
285;donner;2601944;0,005367765;;;;;;;;;;;;;;;;;;;;;;
286;etc;2598015;0,005359659;;;;;;;;;;;;;;;;;;;;;;
287;vrai;2594984;0,005353406;;;;;;;;;;;;;;;;;;;;;;
288;produits;2578792;0,005320002;;;;;;;;;;;;;;;;;;;;;;
289;loin;2565887;0,00529338;;;;;;;;;;;;;;;;;;;;;;
290;notamment;2565098;0,005291752;;;;;;;;;;;;;;;;;;;;;;
291;services;2564036;0,005289561;;;;;;;;;;;;;;;;;;;;;;
292;choix;2559861;0,005280948;;;;;;;;;;;;;;;;;;;;;;
293;seule;2537843;0,005235525;;;;;;;;;;;;;;;;;;;;;;
294;jeunes;2521729;0,005202282;;;;;;;;;;;;;;;;;;;;;;
295;grâce;2518050;0,005194693;;;;;;;;;;;;;;;;;;;;;;
296;simple;2506288;0,005170428;;;;;;;;;;;;;;;;;;;;;;
297;équipe;2495003;0,005147147;;;;;;;;;;;;;;;;;;;;;;
298;pu;2487312;0,005131281;;;;;;;;;;;;;;;;;;;;;;
299;air;2485317;0,005127165;;;;;;;;;;;;;;;;;;;;;;
300;début;2484924;0,005126354;;;;;;;;;;;;;;;;;;;;;;
301;as;2481270;0,005118816;;;;;;;;;;;;;;;;;;;;;;
302;aide;2474698;0,005105258;;;;;;;;;;;;;;;;;;;;;;
303;entreprise;2468091;0,005091628;;;;;;;;;;;;;;;;;;;;;;
304;qualité;2467256;0,005089906;;;;;;;;;;;;;;;;;;;;;;
305;vue;2458673;0,005072199;;;;;;;;;;;;;;;;;;;;;;
306;mani?re;2448710;0,005051645;;;;;;;;;;;;;;;;;;;;;;
307;probl?me;2442264;0,005038347;;;;;;;;;;;;;;;;;;;;;;
308;pris;2435826;0,005025066;;;;;;;;;;;;;;;;;;;;;;
309;président;2434621;0,00502258;;;;;;;;;;;;;;;;;;;;;;
310;sommes;2425549;0,005003865;;;;;;;;;;;;;;;;;;;;;;
311;veut;2414046;0,004980134;;;;;;;;;;;;;;;;;;;;;;
312;seront;2413023;0,004978024;;;;;;;;;;;;;;;;;;;;;;
313;ayant;2406536;0,004964641;;;;;;;;;;;;;;;;;;;;;;
314;mort;2405685;0,004962886;;;;;;;;;;;;;;;;;;;;;;
315;conseil;2398062;0,00494716;;;;;;;;;;;;;;;;;;;;;;
316;terre;2395642;0,004942167;;;;;;;;;;;;;;;;;;;;;;
317;heures;2392781;0,004936265;;;;;;;;;;;;;;;;;;;;;;
318;long;2388713;0,004927873;;;;;;;;;;;;;;;;;;;;;;
319;étant;2385092;0,004920403;;;;;;;;;;;;;;;;;;;;;;
320;avaient;2378634;0,00490708;;;;;;;;;;;;;;;;;;;;;;
321;passe;2374853;0,00489928;;;;;;;;;;;;;;;;;;;;;;
322;aime;2363312;0,004875471;;;;;;;;;;;;;;;;;;;;;;
323;centre;2357015;0,00486248;;;;;;;;;;;;;;;;;;;;;;
324;tour;2356185;0,004860768;;;;;;;;;;;;;;;;;;;;;;
325;simplement;2353048;0,004854296;;;;;;;;;;;;;;;;;;;;;;
326;femmes;2352130;0,004852403;;;;;;;;;;;;;;;;;;;;;;
327;général;2344691;0,004837056;;;;;;;;;;;;;;;;;;;;;;
328;formation;2342541;0,004832621;;;;;;;;;;;;;;;;;;;;;;
329;situation;2340420;0,004828245;;;;;;;;;;;;;;;;;;;;;;
330;porte;2337654;0,004822539;;;;;;;;;;;;;;;;;;;;;;
331;nombreux;2334075;0,004815156;;;;;;;;;;;;;;;;;;;;;;
332;film;2322355;0,004790977;;;;;;;;;;;;;;;;;;;;;;
333;semble;2320841;0,004787854;;;;;;;;;;;;;;;;;;;;;;
334;base;2314460;0,00477469;;;;;;;;;;;;;;;;;;;;;;
